aID,Bag#,Size,Class,Order,Family,Genus,Species,count,Element,Portion,Segment,Side,Fusion,Scan1,Scan2,Scan3,Scan4,FFI.A,FFI.O,FFI.T,Ipcts,CM,Weath1,Weath2,Carn,Rod,Burn,MaxD,CorT,Comments
1,M16-17-99,s,Mammalia,Lagomorpha,Leporidae,Sylvilagus,-,1,AC,CO,CO,L,3,AC1,IL2,-,-,-,-,-,0,0,-,-,0,0,0,33.81,-,
2,M16-17-99,s,Bivalvia,-,-,-,-,7,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"35.94, 26.89, 10.18, 13.32, 8.48, 11.05, 13.95",-,
3,M16-17-99,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12.11,0.83,
4,M16-17-99,m,Mammalia,-,-,-,-,3,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,0,"30.96, 32.08, 29.35","3.23, 3.43, 2.78",
5,M16-17-99,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,1,1,2,0,0,2,2,0,0,0,"17.49, 17.05","3.95, 2.16",
6,M16-17-99,u,-,-,-,-,-,5,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"10.31, 16.14, 12.96, 12.42, 9.99",-,
7,M16-17-99,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,3,"11.14, 14.01","3.44, 3.42",
8,M16-17-99,m,Mammalia,-,-,-,-,1,SKO,US,FR,U,5,-,-,-,-,2,2,2,0,0,2,2,0,0,0,23.07,-,"surface articulates with tooth root, maxillary or mandibular fragment"
9,M16-17-99,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,12.63,-,
10,M16-17-99,u,-,-,-,-,-,4,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"17.70, 15.8, 12.1, 11.63",-,
11,M16-17-99,s,Gastropoda,-,-,-,-,1,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,8.87,-,
12,M16-17-99,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,1,1,0,0,2,21.41,-,
13,M16-17-99,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,2,2,0,0,1,1,0,0,2,17.5,2.3,
14,M16-17-162,s,Gastropoda,-,-,-,-,1,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,18.35,-,
15,M16-17-109,s,Gastropoda,-,-,-,-,4,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"5.19, 6.97, 6.54, 5.52",-,MNI = 1
16,M16-17-17,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,2,M2MR,CO,CO,L,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"17.44, 18.39",-,"single tooth split longitudinally, heavily worn (greater than comparative 8 yo mandible)"
17,M16-17-129,s,-,-,-,-,-,6,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"6.40, 4.15, 3.64, 3.62, 2.97, 3.51",-,crushed
18,M16-17-99,s,Gastropoda,-,-,-,-,2,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"10.98, 9.12",-,
19,M16-17-70,m,Mammalia,-,-,-,-,1,SKO,US,FR,U,5,-,-,-,-,2,2,2,0,0,1,1,0,0,0,22.74,-,"surface articulates with tooth root, maxillary or mandibular fragment"
20,M16-17-70,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,0,0,0,0,0,1,1,0,0,0,36.59,4.63,
21,M16-17-70,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,1,0,0,0,1,1,0,0,0,51.04,4.08,
22,M16-17-70,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,1,0,0,0,1,1,0,0,3,27.02,5.71,
23,M16-17-70,s,Mammalia,-,-,-,-,1,FM,DPR,CO,R,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,18.3,0.82,
24,M16-17-70,s,Mammalia,-,-,-,-,1,MP,DSS,CO,U,3,-,-,-,-,-,-,-,0,0,-,-,0,0,0,16.98,0.4,
25,M16-17-70,m,Mammalia,-,-,-,-,4,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,2,2,0,0,0,"27.12, 14.84, 9.70, 12.94",-,
26,M16-17-70,u,-,-,-,-,-,9,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"15.65, 8.36, 9.27, 8.64, 10.66, 11.95, 17.46, 10.89, 6.8",-,
27,M16-17-70,u,-,-,-,-,-,12,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"19.16, 18.77, 9.31, 11.31, 12.82, 10.32, 12.84, 11.38, 11.88, 11.16, 6.97, 4.96",-,
28,M16-17-70,s,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"9.04, 8.95, 8.32",-,
29,M16-17-70,s,-,-,-,-,-,4,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"13.55, 27.41, 8.16, 13.93",-,
30,M16-17-70,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,"8.11, 6.05",-,
31,M16-17-128,s,Mammalia,-,-,-,-,1,ZG,US,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,13.27,-,
32,M16-17-128,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,14.53,-,
33,M16-17-128,u,-,-,-,-,-,13,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.39, 5.46, 5.57, 6.13, 6.49, 7.80, 4.97, 10.19, 6.14, 11.15, 7.83, 9.61, 5.05",-,
34,M16-17-128,s,-,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,7.09,-,
